iter	RMSE
0	4298.413063
1	4034.052371
2	3809.912577
3	3601.461279
4	3420.043822
5	3256.729842
6	3122.779199
7	3001.516303
8	2896.965673
9	2798.279312
10	2715.709866
11	2643.293006
12	2574.008367
13	2517.751162
14	2469.333636
15	2425.598707
16	2385.195173
17	2347.244288
18	2316.441426
19	2288.574288
20	2263.178938
21	2241.384918
22	2217.961526
23	2199.837372
24	2182.082932
25	2165.559206
26	2151.597104
27	2138.888661
28	2126.15869
29	2115.633093
30	2104.39695
31	2095.179734
32	2087.449534
33	2078.863969
34	2072.609571
35	2064.421078
36	2058.203293
37	2053.474852
38	2047.025717
39	2041.556373
40	2036.063101
41	2031.734935
42	2027.254858
43	2023.221817
44	2019.30558
45	2014.684028
46	2011.348496
47	2007.625238
48	2002.367247
49	1998.468899
50	1995.096783
51	1990.940035
52	1987.931971
53	1985.184011
54	1982.049525
55	1977.156494
56	1974.679696
57	1972.256753
58	1968.537674
59	1966.011264
60	1963.190806
61	1960.684413
62	1958.761902
63	1956.528368
64	1954.279677
65	1951.276814
66	1948.955285
67	1947.09657
68	1945.179649
69	1942.870178
70	1940.020218
71	1937.141073
72	1935.375489
73	1933.795015
74	1931.813306
75	1930.067931
76	1928.049897
77	1925.964989
78	1923.688078
79	1922.214729
80	1920.620814
81	1919.247105
82	1917.243497
83	1915.435493
84	1913.661076
85	1912.135107
86	1910.970752
87	1908.840387
88	1907.022428
89	1905.102575
90	1903.963601
91	1902.727342
92	1900.321346
93	1898.639085
94	1896.20259
95	1894.836563
96	1893.634642
97	1891.616426
98	1889.860498
99	1888.64515
100	1887.159355
101	1885.871977
102	1884.832801
103	1883.610835
104	1882.376765
105	1881.392851
106	1880.067248
107	1878.200467
108	1877.172946
109	1876.190571
110	1875.21503
111	1873.71384
112	1872.001761
113	1871.067163
114	1870.146835
115	1869.225206
116	1868.033824
117	1867.184467
118	1866.122747
119	1864.977776
120	1864.06426
121	1862.838626
122	1862.041601
123	1860.870556
124	1859.484314
125	1858.535273
126	1857.194895
127	1856.036128
128	1854.357579
129	1852.815533
130	1851.371116
131	1850.503856
132	1849.709782
133	1848.793669
134	1847.782763
135	1846.690991
136	1845.712245
137	1844.622956
138	1843.143409
139	1842.336372
140	1841.493614
141	1840.444318
142	1839.178465
143	1838.223763
144	1837.504272
145	1836.400782
146	1835.642316
147	1834.99279
148	1833.796482
149	1833.043191
150	1832.323409
151	1830.793293
152	1829.822769
153	1828.529357
154	1827.824389
155	1827.008957
156	1826.200546
157	1825.241713
158	1824.151361
159	1823.228086
160	1822.350157
161	1821.602943
162	1820.806647
163	1820.233865
164	1819.18865
165	1818.661122
166	1817.581846
167	1816.725793
168	1815.872683
169	1815.086599
170	1814.357749
171	1813.068269
172	1812.156006
173	1811.158692
174	1810.180173
175	1809.474446
176	1808.823101
177	1807.879728
178	1807.054495
179	1806.516607
180	1805.846148
181	1805.20904
182	1804.618926
183	1804.035796
184	1803.429586
185	1802.708589
186	1801.97898
187	1801.524093
188	1800.889441
189	1800.324867
190	1799.621931
191	1798.878151
192	1798.026343
193	1796.969128
194	1796.547278
195	1796.087524
196	1795.285803
197	1794.140646
198	1793.491384
199	1793.055267
200	1792.531841
201	1792.036585
202	1791.520292
203	1790.787538
204	1790.105752
205	1789.214487
206	1788.49814
207	1787.919216
208	1787.437578
209	1786.952339
210	1786.032834
211	1784.703493
212	1784.211738
213	1783.336345
214	1782.635327
215	1781.911962
216	1781.366804
217	1780.436439
218	1779.935342
219	1779.381204
220	1778.879986
221	1778.337492
222	1777.928737
223	1776.824693
224	1776.005069
225	1775.571475
226	1774.707789
227	1774.153659
228	1773.597183
